paper_no,first_author_surname,authors,year,title,journal,volume,issue,pages,doi_stableurl,abstract,used,excld_1,excld_2,excld_3,excld_4,excld_5,excld_6,excld_7,excld_8,comments
1182,Glen,F. Glen and N. Mrosovsky,2004,Antigua Revisited: The Impact Of Climate Change On Sand And Nest Temperatures At A Hawksbill Turtle (Eretmochelys Imbricata) Nesting Beach,Global Change Biology,10,12,2036-2045,10.1111/j.1365-2486.2004.00865.x,"Whether a turtle embryo develops into a male or a female depends, as with many other reptiles, on the temperature during incubation of the eggs. With sea turtles, warm temperatures produce 100% females. Therefore, global warming has the potential to drastically alter their sex ratios. Air temperatures on Antigua have increased by 0.7degreesC over the last 35 years. Measurements in both the sand and the clutches laid by hawksbill turtles (Eretmochelys imbricata) at Pasture Bay, Antigua, show that for important parts of the nesting season temperatures are already above the level producing 50% of each sex (pivotal level). Comparisons are made to sand temperature measurements taken on this beach in 1989 and 1990. It is estimated that fewer males were produced in 2003 than in the previous years. Recommendations are made for close monitoring of the fertility of eggs and for research on any turtles nesting at cooler times of year.",N,N,N,N,Y,N,N,N,N,NA
1183,Godley,"B. J. Godley, A. C. Broderick, J. R. Downie, F. Glen, J. D. R. Houghton, I. Kirkwood, S. Reece and G. C. Hays",2001,Thermal Conditions In Nests Of Loggerhead Turtles: Further Evidence Suggesting Female Skewed Sex Ratios Of Hatchling Production In The Mediterranean,Journal of Experimental Marine Biology and Ecology,263,1,45-63,10.1016/S0022-0981(01)00269-6,"Temperature was recorded in 23 nests of the loggerhead turtle (Caretta caretta) and control sites of nest depth at Alagadi (35 degrees 33'N, 33 degrees 47'E), Northern Cyprus, eastern Mediterranean. Control site sand temperature was found to be highly correlated with mean daily air temperature and mean nest temperature. Mean temperature in nests ranged from 29.5 degreesC to 33.2 degreesC, with mean temperature in the middle third of incubation ranging from 29.3 degreesC to 33.7 degreesC. Hatching success was significantly correlated with incubation temperature, with nests experiencing very high temperatures exhibiting low hatching success. All nests demonstrated regular diel variation in temperature with mean daily fluctuations ranging from 0.3 degreesC to 1.4 degreesC. Increase in temperature above that of the prevailing sand temperature attributed to metabolic heating was clearly demonstrated in 14 of 15 clutches, with the mean level of metabolic heating of all nests being 0.4 degreesC. However, the level of metabolic heating varied markedly throughout the incubation period with levels being significantly higher in the final third of incubation. Incubation duration was found to be significantly correlated to both the mean temperature of nests throughout the incubation period and during the middle third of incubation. The relationship between incubation duration and mean incubation temperature was used to estimate mean incubation temperatures at most major nesting sites throughout the Mediterranean from available data on incubation durations, showing that mean incubation temperature is likely to be above 29.0 degreesC at most sites in most seasons. (C) 2001 Elsevier Science B.V. All rights reserved.",N,N,N,N,Y,N,N,N,N,NA
1184,Godley,"B. J. Godley, A. C. Broderick, F. Glen and G. C. Hays",2002,Temperature-Dependent Sex Determination Of Ascension Island Green Turtles,Marine Ecology Progress Series,226,NA,115-124,10.3354/meps226115,"We examined the role played by temperature in the duration of incubation and sex ratio of green turtle hatchlings at Ascension Island, one of the most important green turtle rookeries in the Atlantic, Temperature at control sites at nest depth and in 39 green turtle nests was measured using small temperature recording devices, The sex ratio of hatchlings was ascertained in a sub-sample of monitored nests allowing the description of the relationship between intranest temperature and hatchling sex ratio, demonstrating a pivotal incubation temperature of 28.8degreesC. The seasonal profile in sex ratio of hatchlings produced on all nesting beaches at Ascension Island was estimated, showing that a female-biased sex ratio would be expected with a female:male ratio of the order of 3:1, The use of nest temperature, air temperature, sand temperature at control sites, and incubation duration as proxies to estimate hatchling sex ratio are discussed.",N,N,N,N,Y,N,N,N,N,NA
1185,Goodman,"B. A. Goodman, L. Schwarzkopf and A. K. Krockenberger",2013,Phenotypic Integration In Response To Incubation Environment Adaptively Influences Habitat Choice In A Tropical Lizard,American Naturalist,182,5,666-673,10.3354/meps226115,"Phenotypic integration, in which a suite of traits change in a correlated or covarying response to shifts in environmental conditions, may enhance an organism''s fitness. In skinks, rocky environments select for longer limbs and rapid running and climbing. We examined whether differences in nest temperature coincident with specific habitats caused phenotypically integrated effects on morphology, locomotor performance, and behavior in the skink Carlia longipes. Specifically, we determined whether microhabitat choices were integrated with adaptive morphology for each habitat. Using a split-clutch design, we incubated eggs at thermal regimes that mimicked the thermal environments of nests from two habitat types (forest = warm; rocky = cool). Hatchlings from cool incubation environments had longer limbs and greater running and climbing speeds, which are likely to be beneficial for rocky habitats. In addition, individuals from cool incubation environments selected rocky microhabitats more frequently than did hatchlings from warm incubation environments. We demonstrate phenotypic integration in response to nest temperature that affected morphology, performance, and ultimately habitat selection in a way that should increase hatchling fitness.",Y,N,N,N,N,N,N,N,N,NA
1186,Goodman,R. M. Goodman,2008,Latent Effects Of Egg Incubation Temperature On Growth In The Lizard Anolis Carolinensis,Journal of Experimental Zoology Part A - Ecological Genetics and Physiology,309A,9,525-533,https://doi.org/10.1002/jez.483,"Varied egg incubation temperatures can result in immediate effects on the phenotype of reptiles, and also latent effects that can augment or contradict effects evident at egg hatching. I examined the effects of incubation temperature on embryonic development, hatching morphology, and subsequent growth in multiple populations of the lizard Anolis carolinensis. Eggs from wild-caught females in four populations were incubated at up to three temperatures, 23.5, 27, and 30 degrees C. Measures of body size were collected immediately after hatching and weekly thereafter, while juveniles were maintained in a common laboratory environment for 8 weeks. Cooler incubation temperatures resulted in longer incubation periods but did not affect conversion of egg mass to hatchling mass. Incubation temperature did not affect hatchling mass or snout vent length (SVL), but did affect subsequent growth in both mass and SVL, which varied by population. Cooler incubation temperatures generally resulted in greater overall growth over 8 weeks of housing all juveniles in a common environment. In A. carolinensis, egg incubation temperature had latent effects on juvenile growth despite the absence of any detected immediate effects on hatchling phenotype. Therefore, the total impact and evolutionary importance of developmental environment should not be assessed or assumed based solely on the phenotype of reptiles at birth or hatching. J. Exp. Zool. 309A:525-533, 2008. (C) 2008 Wiley-Liss, Inc.",Y,N,N,N,N,N,N,N,N,NA
1187,Goodman,R. M. Goodman and T. P. Heah,2010,Temperature-Induced Plasticity At Cellular And Organismal Levels In The Lizard Anolis Carolinensis,Integrative Zoology,5,3,208-217,https://doi.org/10.1111/j.1749-4877.2010.00206.x,"Among ectotherms, individuals raised in cooler temperatures often have larger body size and/or larger cell size. The current study tested whether geographic variation in cell size and plasticity for cell size exist in a terrestrial, ectothermic vertebrate, Anolis carolinensis Voigt, 1832. We demonstrated temperature-induced plasticity in erythrocytes and epithelial cells of hatchlings lizards derived from the eggs of females sampled from four populations and incubated at multiple temperatures. Larger cells were produced in hatchlings from cooler treatments; however, hatchling body size was unaffected by temperature. Therefore, temperature-induced plasticity applies at the cellular, but not organismal, level in A. carolinensis. In addition, reaction norms for cell size differed among populations. There was a latitudinal trend in cell size and in plasticity of cell size among our study populations. The two southernmost populations showed plasticity in cell size, whereas the two northernmost ones did not. We suggest that selection pressure for larger cell size in northern, cooler environments has restricted plasticity in A. carolinensis applied at the cellular level in response to variable incubation environments.",Y,N,N,N,N,N,N,N,N,NA
1188,Goodman,R. M. Goodman and J. W. Walguarnery,2007,Incubation Temperature Modifies Neonatal Thermoregulation In The Lizard Anolis Carolinensis,Journal of Experimental Zoology Part A - Ecological Genetics and Physiology,307A,8,439-448,https://doi.org/10.1002/jez.397,"The thermal environment experienced during embryonic development can profoundly affect the phenotype, and potentially the fitness, of ectothermic animals. We examined the effect of incubation temperature on the thermal preferences of juveniles in the oviparous lizard, Anolis carolinensis. Temperature preference trials were conducted in a laboratory thermal gradient within 48 hr of hatching and after 22-27 days of maintenance in a common laboratory environment. Incubation temperature had a significant effect on the upper limit of the interquartile range (IQR) of temperatures selected by A. carolinensis within the first 2 days after hatching. Between the first and second trials, the IQR of selected temperatures decreased significantly and both the lower limit of the IQR and the median selected temperature increased significantly. This, along with a significant incubation temperature by time interaction in the upper limit of the IQR, resulted in a pattern of convergence in thermoregulation among treatment groups. The initial differences in selected temperatures, as well as the shift in selected temperatures between first and second trials, demonstrate plasticity in temperature selection. As a previous study failed to find environmentally induced plasticity in temperature selection in adult A. carolinensis, this study suggests that this type of plasticity is exclusive to the period of neonatal development.",Y,N,N,N,N,N,N,N,N,NA
1189,Graves,B. M. Graves and D. Duvall,1993,"Reproduction, Rookery Use, And Thermoregulation In Free-Ranging, Pregnant Crotalus-V-Viridis",Journal of Herpetology,27,1,33-41,10.2307/1564902,"A study of the reproductive biology of pregnant, free-ranging prairie rattlesnakes was conducted in Wyoming from 1982 through 1987. Females reproduced on a flexible superannual cycle. Pregnant females were longer than nonpregnant females, and heavier than nonpregnant females of similar length. Among pregnant snakes, follicle number was positively correlated with increasing body size. Pregnant snakes that had radiotelemetry transmitters surgically implanted early in the active season resorbed follicles, whereas those with transmitters implanted later in the season continued pregnancy through parturition. Movements from hibernacula to rookeries were spatially direct, but often one more or more in duration. Snakes in rookeries were relatively sedentary, frequently shared shelter rocks with pregnant conspecifics, and maintained higher body temperatures than nonpregnant conspecifics that were not in rookeries. Air temperature, date, and microhabitat were important influences on body temperature. Among other potential benefits, residence in rookeries may enhance reproductive success through thermal effects on gestation.",N,Y,N,N,N,N,N,N,N,NA
1190,Greenbaum,E. Greenbaum and J. L. Carr,2001,"Sexual Differentiation In The Spiny Softshell Turtle (Apalone Spinifera), A Species With Genetic Sex Determination",Journal of Experimental Zoology,290,2,190-200,https://doi.org/10.1002/jez.1049,"It is hypothesized on the basis of sex determination theory that species exhibiting genetic sex determination (GSD) may undergo sexual differentiation earlier in development than species with environmental sex determination (ESD). Most turtle species exhibit a form of ESD known as temperature-dependent sex determination (TSD), and in such species the chronology of sex differentiation is well studied. Apalone spinifera is a species of softshell turtle (Trionychidae) that exhibits GSD. We studied sexual differentiation in this species in order to facilitate comparison to TSD species. Eggs were incubated at two different temperatures and embryos were harvested at various stages of mid to late development. Gonad length was measured with image analysis software, then prepared histologically. Indifferent gonads have differentiated in stage 19 embryos. Histological details of gonadogenesis follow the same pattern as described for other reptiles. Regression of the male paramesonephric duct closely follows testicular differentiation. Gonad lengths are longer at the warmer incubation temperature, and ovaries are generally longer than testes at each stage and for each temperature. Although sexual differentiation takes place at about the same stage as in other turtles with TSD (18-20), in A. spinifera this differentiation is irreversible at this stage, while in some of the TSD species sex is reversible until about stage 22. This immutable, definitive sexual differentiation may support the hypothesis of an accelerated chronology of sex differentiation for this species. We also note that sexual dichromatism at hatching is known in this species and may provide additional evidence of early differentiation. (C) 2001 Wiley-Liss,Inc.",Y,N,N,N,N,N,N,N,N,NA
1191,Guo,"J.-H. Guo, X.-P. Zhu, W.-H. Zhao, C.-Q. Wei and Y.-L. Chen",2010,Effects Of Incubation Temperature And Substrate Humidity On Embryonic Development Of Mauremys Mutica,The Journal of Applied Ecology,21,1,215-220,NA,"Yellow pond turtle (Mauremys mutica) eggs were incubated in vermiculite under nine combinations of temperature and humidity, i. e., 25 degrees C and -12 kPa, 29 degrees C and -12 kPa, 33 degrees C and -12 kPa, 25 degrees C and -150 kPa, 29 degrees C and -150 kPa, 33 degrees C and -150 kPa, 25 degrees C and -300 kPa, 29 degrees C and -300 kPa, and 33 degrees C and -300 kPa, aimed to study the effects of incubation temperature and its interaction with substrate humidity on the embryonic development of M. mutica. The initial egg mass, incubation temperature, substrate humidity, and the interaction of incubation temperature and substrate humidity had significant effects on the mass increment of egg in the course of hatching. At the same temperature, eggs incubated in wetter substrates (-12 kPa) gained more mass than those incubated in drier substrates (-150 kPa and -300 kPa). Incubation temperature affected hatching period significantly, while substrate humidity and its interaction with temperature did not. Both incubation temperature and substrate humidity affected hatching success and shell crack rate significantly. Abnormal hatchlings were found when incubated at 25 degrees C and 33 degrees C, but not at 29 degrees C. Incubation temperature had significant effects on the hatchling mass, carapace length and width, plastron length and width, body height, and tail length; while substrate humidity only affected hatchlings plastron length. The interaction of incubation temperature and substrate humidity did not affect the morphology of hatchlings.",Y,N,N,N,N,N,N,N,N,NA
1192,Gutzke,W. H. N. Gutzke and D. Crews,1988,Embryonic Temperature Determines Adult Sexuality In A Reptile ,Nature,332,6167,832-834,https://doi.org/10.1038/332832a0,"Gonadal differentiation in amniote vertebrates is controlled by one of two mechanisms: genotypic sex determination (GSD) or environmental sex determination (ESD). After differentiation the fetal gonad produces sex steroid hormones which govern the development of other components of sexuality. Thus, the primary sex determiner is thought to operate solely as a trigger that initiates a cascade of events culminating in adult sex differences. In the leopard gecko (Eublepharis macularius), gonadal and morphological sex is determined by incubation temperature, with relatively 'hot' temperatures (32 degrees C) resulting in mostly male offspring and relatively 'cold' temperatures (26 degrees C) resulting in only female offspring. We report here that the reproductive behaviour and endocrine physiology of an adult is influenced by the temperature experienced as an embryo. Also, the perception of a female to courtship by a male is influenced by incubation temperature. These data indicate that incubation temperature, the primary determiner of sex in this species, has differential effects on adult sexuality.",Y,N,N,N,N,N,N,N,N,NA
1193,Hare,"K. M. Hare, C. H. Daugherty and A. Cree",2002,"Incubation Regime Affects Juvenile Morphology And Hatching Success, But Not Sex, Of The Oviparous Lizard Oligosoma Suteri (Lacertilia : Scinidae)",New Zealand Journal of Zoology,29,3,221-229,https://www.researchgate.net/publication/248912017_Incubation_regime_affects_juvenile_morphology_and_hatching_success_but_not_sex_of_the_oviparous_lizard_Oligosoma_suteri_Lacertilia_Scinidae,"We studied the effects of different artificial incubation regimes on the hatching success, morphology, and sex of hatchlings of New Zealand's only endemic egg-laying skink, Oligosoma suteri (Boulenger, 1906). Eggs were randomly distributed among three constant incubation temperatures (18, 22, and 26degreesC) and two water potentials (-120 and -270 kPa). Hatching success and hatchling survival were greatest at 22 and 26degreesC. Hatchlings from 18degreesC incubation had low survival, morphological abnormalities of the limbs, and atypical colouration. Water potential did not influence hatchling survival, morphology, or sex. Equal sex ratios were found at all incubation regimes indicating that sex determination in O. suteri is genetic, not temperature-dependent.",Y,N,N,N,N,N,N,N,N,NA
1194,Hare,"K. M. Hare, C. G. Longson, S. Pledger and C. H. Daugherty",2004,"Size, Growth, And Survival Are Reduced At Cool Incubation Temperatures In The Temperate Lizard Oligosoma Suteri (Lacertilia : Scincidae)",Copeia,2004,2,383-390,https://doi.org/10.1643/CP-03-084R2,"Reptile eggs from cool temperate environments often experience cool incubation conditions, which may have long-term consequences for individual fitness. We studied the effects of artificial incubation regimes on size, growth, and survival of New Zealand's only endemic oviparous lizard, Oligosoma suteri. Eggs were randomly distributed among three incubation temperatures (18, 22, 26 C) and two water potentials (-120 and -270 kPa). Hatchlings; incubated at 22 C and -120 kPa were significantly larger for most measurements than hatchlings from other incubation treatments. juveniles from the two higher incubation temperatures had more rapid growth and ultimately greater size by 12 months, as well as significantly higher survival to 18 months, than did 18 C incubated individuals. Hatchling size did not influence survival. Our data suggest that the restricted northern distribution of O. suteri results from ecological constraints caused by the negative effects of cool incubation temperatures on embryos and subsequently hatchlings.",Y,N,N,N,N,N,N,N,N,NA
1195,Hare,K. M. Hare and A. Cree,2011,Maternal And Environmental Influences On Reproductive Success Of A Viviparous Grassland Lizard,New Zealand Journal of Ecology,35,3,254-260,http://www.jstor.org/stable/24060736,"Understanding the factors that drive population persistence and growth is fundamental to both conservation management and evolutionary biology. Internal (maternal) and external (environmental) factors can affect female reproductive output, and in oviparous reptiles both may strongly influence offspring phenotype and quality. However, the link between these effects, their importance for reproductive output and offspring characteristics of live-bearing lizards, and whether population declines are linked to these factors in modified versus native habitats are unknown. We used a common New Zealand skink species, Oligosoma maccanni (McCann's skink), found in grazed native and exotic grassland to test whether differences in environmental or maternal characteristics influenced birth date, pregnancy success and offspring phenotype. In both grassland types the date of birth was c. 8 days earlier at lower altitudes (altitudinal range = 564-719 m a.s.l), and small females were less likely to have successful pregnancies. However, larger females had more weak or deformed offspring, suggesting that reproductive senescence may exist in this species. While other research shows that exotic grasslands do not support as many skinks as native tussock grassland, reproductive success of pregnant skinks (viable litter size) was not affected by habitat modification. However, neonates had greater body condition (mass for length) when from females with higher post-partum body condition, and these females were from the native tussock grasslands. In conjunction with previously published data on McCann's skink, our data suggest that reduced offspring quality may contribute to the lower population numbers in the exotic habitats.",N,Y,N,N,N,N,N,N,N,NA
1196,Hare,"K. M. Hare, S. Pledger and C. H. Daugherty",2008,Low Incubation Temperatures Negatively Influence Locomotor Performance And Behavior Of The Nocturnal Lizard Oligosoma Suteri (Lacertidae : Scincidae),New Zealand Journal of Ecology,35,3,254-260,https://doi.org/10.1643/CP-06-275,"We investigated the effects of artificial incubation regimes, experimental temperature, and age on the locomotor performance of New Zealand's only endemic oviparous lizard, Oligosoma suteri. Artificial incubation is often used to produce founders of new populations of endangered reptiles and can have significant effect on juvenile phenotype. Eggs of o. suteri were randomly distributed among three incubation temperatures (18, 22, 26 degrees C). juvenile (n = 117) maximum sprint speed was measured over three trials at 18, 22, and 26 degrees C, and at one and four months of age, and behaviors during sprinting trials recorded. Sprint speed increased with an increase in experimental temperature and age. After removing the effect of individual size, juveniles incubated at low temperatures (18 degrees C) were slower and exhibited locomotor behaviors likely to be detrimental for their survival (running towards stimulus). Individuals were consistently fast (or slow) at any given age or experimental temperature. Our data suggest that o. suteri incubated at warmer temperatures may have higher survival when released to the wild.",Y,N,N,N,N,N,N,N,N,NA
1197,Harlow,P. S. Harlow,2000,Incubation Temperature Determines Hatchling Sex In Australian Rock Dragons (Agamidae : Genus Ctenophorus),Copeia,2000,4,958-964,http://www.jstor.org/stable/1448006,"Rock dragons are medium-sized agamid Lizards restricted to arid or semiarid rocky habitats in southern Australia. When eggs from two species (Ctenophorus decresii and Ctenophorus ornatus) were incubated at constant temperatures in the laboratory, temperature affected incubation period, hatchling tail length, and sex determination. At the lowest incubation temperature (25 C), all hatchlings were female; the proportion of males increased at big-her incubation temperatures. Rock dragons are fast growing and short-lived lizards; in the field they reproduce for only one or two seasons, Females lay multiple clutches of eggs from spring through to late summer which, in the climatically temperate part of Australia where these species occur, suggests that the date of hatching may be a good predictor of hatchling sex. Any sex differences in hatching date would, in turn, translate into sex differences in body size at the beginning of the next reproductive season, If the relationship between body size and reproductive success differs between the sexes in adult rock dragons, this would provide a plausible basis for the evolution of temperature-dependent sex determination in these species.",Y,N,N,N,N,N,N,N,N,NA
1198,Harlow,P. S. Harlow and R. Shine,1999,"Temperature-Dependent Sex Determination In The Frillneck Lizard, Chlamydosaurus Kingii (Agamidae)",Herpetologica,55,2,205-212,http://www.jstor.org/stable/3893081,"Frillneck lizards (Chlamydosaurus kingii) are large (0.75 m total length) agamid lizards from tropical Australian savannas. We incubated 56 eggs from six clutches of C. kingii at four thermal regimes in the laboratory: constant temperatures of 26, 29 and 32 C, and a diurnally cycling regime (33 +/- 5 C) designed to mimic extreme natural nest temperatures. Incubation temperatures determined hatchling sex; all hatchlings from the hottest and coldest thermal regimes were female, with males produced only at intermediate temperatures. Thermal regimes also determined incubation periods and significantly affected hatchling sizes. The sexes differed in size (mass, snout-vent length, tail length) at hatchling, but the influence of incubation temperature on hatchling morphology was similar in the two sexes. Several attributes of C. kingii suggest that it offers an ideal opportunity to investigate the adaptive significance of temperature-dependent sex determination in reptiles.",Y,N,N,N,N,N,N,N,N,NA
1199,Harlow,P. S. Harlow and J. E. Taylor,2000,Reproductive Ecology Of The Jacky Dragon (Amphibolurus Muricatus): An Agamid Lizard With Temperature-Dependent Sex Determination,Austral Ecology,25,6,640-652,https://doi.org/10.1111/j.1442-9993.2000.tb00070.x,"The jacky dragon, Amphibolurus muricatus (White, ex Shaw 1790) is a medium sized agamid lizard from the southeast of Australia. Laboratory incubation trials show that this species possesses temperature-dependent sex determination. Both high and low incubation temperatures produced all female offspring, while varying proportions of males hatched at intermediate temperatures. Females may lay several clutches containing from three to nine eggs during the spring and summer. We report the first field nest temperature recordings for a squamate reptile with temperature-dependent sex determination. Hatchling sex is determined by nest temperatures that are due to the combination of daily and seasonal weather conditions, together with maternal nest site selection. Over the prolonged egg-laying season, mean nest temperatures steadily increase. This suggests that hatchling sex is best predicted by the date of egg laying, and that sex ratios from field nests will vary over the course of the breeding season. Lizards hatching from eggs laid in the spring (October) experience a longer growing season and should reach a larger body size by the beginning of their first reproductive season, compared to lizards from eggs laid in late summer (February). Adult male A. muricatus attain a greater maximum body size and have relatively larger heads than females, possibly as a consequence of sexual selection due to male-male competition for territories and mates. If reproductive success in males increases with larger body size, then early hatching males may obtain a greater fitness benefit as adults, compared to males that hatch in late summer. We hypothesize that early season nests should produce male-biased sex ratios, and that this provides an adaptive explanation for temperature-dependent sex determination in A. muricatus.",Y,N,N,N,N,N,N,N,N,NA
1200,Hawkes,"L. A. Hawkes, A. C. Broderick, M. H. Godfrey and B. J. Godley",2007,Investigating The Potential Impacts Of Climate Change On A Marine Turtle Population,Global Change Biology,13,5,923-932,10.1111/j.1365-2486.2007.01320.x,"Recent increases in global temperatures have affected the phenology and survival of many species of plants and animals. We investigated a case study of the effects of potential climate change on a thermally sensitive species, the loggerhead sea turtle, at a breeding location at the northerly extent of the range of regular nesting in the United States. In addition to the physical limits imposed by temperature on this ectothermic species, sea turtle primary sex ratio is determined by the temperature experienced by eggs during the middle third of incubation. We recorded sand temperatures and used historical air temperatures (ATs) at Bald Head Island, NC, to examine past and predict future sex ratios under scenarios of warming. There were no significant temporal trends in primary sex ratio evident in recent years and estimated mean annual sex ratio was 58% female. Similarly, there were no temporal trends in phenology but earlier nesting and longer nesting seasons were correlated with warmer sea surface temperature. We modelled the effects of incremental increases in mean AT of up to 7.5 degrees C, the maximum predicted increase under modelled scenarios, which would lead to 100% female hatchling production and lethally high incubation temperatures, causing reduction in hatchling production. Populations of turtles in more southern parts of the United States are currently highly female biased and are likely to become ultra-biased with as little as 1 degrees C of warming and experience extreme levels of mortality if warming exceeds 3 degrees C. The lack of a demonstrable increase in AT in North Carolina in recent decades coupled with primary sex ratios that are not highly biased means that the male offspring from North Carolina could play an increasingly important role in the future viability of the loggerhead turtle in the Western Atlantic.",N,N,N,N,Y,N,N,N,N,NA
1201,Hays,"G. C. Hays, A. C. Broderick, F. Glen and B. J. Godley",2003,Climate Change And Sea Turtles: A 150-Year Reconstruction Of Incubation Temperatures At A Major Marine Turtle Rookery,Global Change Biology,9,4,642-646,10.1046/j.1365-2486.2003.00606.x,"Sea turtles show temperature dependent sex determination. Using an empirical relationship between sand and air temperature, we reconstructed the nest temperatures since 1855 at Ascension Island, a major green turtle (Chelonia mydas ) rookery. Our results show that inter-beach thermal variations, previously ascribed to the albedo of the sand, which varies hugely from one beach to another, have persisted for the last century. Reconstructed nest temperatures varied by only 0.5 degreesC on individual beaches over the course of the nesting season, while the temperature difference between two key nesting beaches was always around 3 degreesC. Hence inter-beach thermal variations are the main factor causing a large range of incubation temperatures at this rookery. There was a general warming trend for nests, with a mean increase in reconstructed nest temperatures for different months of between 0.36 and 0.49 degreesC for the last 100 years.",N,N,N,N,Y,N,N,N,N,NA
1202,Heulin,"B. Heulin, K. Osenegg and M. Lebouvier",1991,Timing Of Embryonic-Development And Birth Dates In Oviparous And Viviparous Strains Of Lacerta-Vivipara - Testing The Predictions Of An Evolutionary Hypothesis,Acta Oecologica-International Journal of Ecology,12,4,517-528,https://doi.org/10.1016/0016-6480(89)90081-6,"Lacerta vivipara is a lizard species which exhibits both oviparous and viviparous populations. The present study was designed in order to compare the rates of embryonic development and birth dates in the oviparous and viviparous strains under laboratory conditions and in semi-natural outdoor enclosures. In the oviparous strain a strong negative correlation exists between incubation temperature and incubation duration. The difference in birth dates between oviparous and viviparous forms does not exceed one week when oviparous eggs are artificially incubated under temperatures close to the body temperatures of pregnant viviparous females. On the other hand, oviparous eggs incubated under lower temperatures in the outdoor enclosure hatched approximately one month after parturition of the viviparous females. These results support the idea that a main advantage of viviparity is that the embryos can develop more rapidly at high maternal temperatures than at low soil temperatures. Some data on oviparous and viviparous natural populations are also presented and discussed.",N,Y,N,N,N,N,N,N,N,NA
1203,Hewavisenthi,S. Hewavisenthi and C. J. Parmenter,2002,Incubation Environment And Nest Success Of The Flatback Turtle (Natator Depressus) From A Natural Nesting Beach,Copeia,2002,2,302-312,10.1643/0045-8511(2002)002[0302:IEANSO]2.0.CO;2,"The thermal and hydric environment during incubation of turtle eggs influences hatchling size, sex, energy reserves, and thus their quality. Information on the natural nest environment of flatback turtles (Natator depressus) is lacking. Therefore, the current study investigated the thermal and hydric environment of their nest chambers and nesting beach (at Peak Island, cast coastal Queensland during the 1996, 1997 and 1997/1998 nesting seasons). The temperature of nest chambers and the nesting beach showed temporal and spatial variation. Beach temperature increased through the nesting season as summer progressed and showed significant vertical and lateral variation. The temperature in the core of nest chambers increased as incubation progressed (on average 7 C) apparently because of both metabolic heating and the natural seasonal increase in sand temperature. The temperature range of nests was 25.5-36.5 C, with many nests exposed to temperatures above 35 C for extended periods. Water content of sand surrounding nest chambers at the beginning of incubation ranged from 2.6-7.8%, (w/w), varying with date of laying and location on the beach. Natator depressus eggs may be more tolerant of high incubation temperatures and severe moisture stress than those of most other sea turtle species. Nest success was not influenced by the position of the nest on the beach but was positively related to clutch size. Neither nest success nor clutch size varied significantly between subsequent clutches of an individual female. Hatchling sex ratio at this beach possibly depends on the date of egg laying. Because high density nesting occurs when beach temperature appears to produce almost all female hatchlings, the hatchling sex ratio at Peal, Island is likely to be biased toward females. Data gathered in the current study will assist in the development of management strategies to protect this endemic species.",N,N,N,N,Y,N,N,N,N,NA
1204,Hewavisenthi,S. Hewavisenthi and C. J. Parmenter,2002,Thermosensitive Period For Sexual Differentiation Of The Gonads Of The Flatback Turtle (Natator Depressus Garman),Australian Journal of Zoology,50,5,521-527,10.1071/ZO02014,"Temperature-dependent sex determination has previously been reported for the flatback turtle (Natator depressus). The present study investigates the thermosensitive embryonic developmental stages for the sexual differentiation of this species. Groups of eggs incubated initially at constant temperatures of 26, 29 and 32degreesC were shifted once during incubation from either a constant masculinising temperature (26 or 29degreesC) to a constant feminising temperature (32degreesC) or vice versa. Findings from this study support the hypothesis that the effect of temperature and the timing of the thermosensitive period are dependent upon the specific temperature utilised during incubation. The thermosensitive developmental stages at masculinising temperatures were different to those of feminising temperatures. For the 26 to 32degreesC temperature shift, the thermosensitive period was confined to a single developmental stage (Stage 24). Ovarian development was determined at a later developmental stage than testicular development.",N,N,N,Y,N,N,N,N,N,NA
1205,Holmes,"M. M. Holmes, O. Putz, D. Crews and J. Wade",2005,Normally Occurring Intersexuality And Testosterone Induced Plasticity In The Copulatory System Of Adult Leopard Geckos,Hormones and Behavior,47,4,439-445,10.1016/j.yhbeh.2004.11.020,"The copulatory neuromuscular system of lizards is highly sexually dimorphic. Adult males possess bilateral penises called hemipenes, which are independently controlled by two muscles, the retractor penis magnus (RPM) and transversus penis (TPN). These structures are Dot obvious in adult females. However, in adult female leopard geckos (Eublepharis macularius), testosterone induces hemipene growth. We investigated whether these structures develop de novo in adulthood or are histologically present as rudimentary structures in the female leopard gecko. We also investigated the extent of sexual dimorphisms and plasticity in the associated neuromuscular components. To do this, we compared copulatory morphology (sizes of hemipenes, RPM and TPN muscle fibers, and associated motoneurons, as well as motoneuron and RPM fiber number) in adult females treated with testosterone, control females, and control males. All of the geckos possessed hernipenes, RPMs and TPNs, but these structures were indeed vestigial in control females. Testosterone induced striking increases in hemipene and copulatory muscle fiber size in females, but not to levels equivalent to control males. In parallel, males with increased levels of androgenic activity had larger hernipenes, suggesting naturally occurring steroid-induced plasticity. Copulatory motoneurons were not sexually dimorphic in size or number, and these measures did not respond to testosterone. The data demonstrate that the copulatory system of leopard geckos, in which gonadal sex is determined by egg incubation temperature, differs from that of many species (both reptilian and mammalian) with genotypic sex determination. Indeed, the system is remarkable in that adult females have normally occurring intersex characteristics and they exhibit substantial steroid-induced morphological plasticity in adulthood. (c) 2004 Elsevier Inc. All rights reserved.",N,N,N,N,N,N,N,N,Y,Not applicable; morphology of copulatory system
